"Fact Sheet","index","url"
"Location: El Cerrito, CA Hobbies: Fantasy hobbies surfing and painting Favorite noveling music: silence Website: Occupation: Consulting Favorite books or authors: DFW, Junot Diaz, Christopher Moore. Read every Agatha Christie by age 15.","3511","http://nanowrimo.org/participants/Bustella"
"Fact Sheet","3512","http://nanowrimo.org/participants/Crodentia"
"Age: 30 Location: Apocalypse Springs, CO Hobbies: Analyzing movies, mental health advocacy, researching penguins, history, etymology, theology, and philosophy. Favorite noveling music: http://www.youtube.com/playlist?list=PLWuaXjZbo-m1cJBxbXgqXyRWesBp0cZej Website: https://www.facebook.com/rakillamwriter Occupation: Freelancer Favorite books or authors: ""Patient Zero"" by Jonathan Maberry, ""Fight Club"" by Chuck Palahniuk, and ""Byzantium"" by Stephen Lawhead","3513","http://nanowrimo.org/participants/Crodentia"
"Fact Sheet","3514","http://nanowrimo.org/participants/DarylDarko"
"Age: 57 Location: San Ramon, California Hobbies: Photography, taphophilia, Buffy the Vampire Slayer, driving around w/my GPS, horror film & literature, book sales, the sea, the sea... Favorite noveling music: Captain Beefheart, Joy Division, Brian Eno, METALLICA, Paganini, King Crimson, 70's Punk Rock, Bela Bartok, Ramms+ein, Bob Dylan, Radiohead... Website: http://darkoisdorko.com Sponsorship URL: https://www.classy.org/fundraise?fcid=239622 Occupation: photographer/writer/vegetable-selling-man Favorite books or authors: We Have Always Lived in the Castle, by Shirley Jackson, Clive Barker, Philip K. Dick, Samuel Beckett, Stephen King, James Joyce, Shirley Jackson, Carlton Mellick III, Eugene O'Neil, Poppy Z. Brite, Francesca Lia Block, Sarah Vowell","3515","http://nanowrimo.org/participants/DarylDarko"
"Fact Sheet","3516","http://nanowrimo.org/participants/Derek-Wallace"
"Age: 36 Birthday: January 12 Location: Oakland, CA Hobbies: Filmmaking, comic books, 3D Printing, Star Trek Favorite noveling music: Instrumentals Website: http://www.twitter.com/DerekCWallace Occupation: Writer/Director Favorite books or authors: John Steinbeck, Jack Kerouac, Charles Bukowski, George Orwell, Aldous Huxley, Ray Bradburry, Chuck Palahniuk, Carl Sagan, Tom Brown Jr., Alex Garland, Robert Moss, Gary Paulsen, Howard Zinn, Stephen King","3517","http://nanowrimo.org/participants/Derek-Wallace"
"Fact Sheet","3518","http://nanowrimo.org/participants/dkdailey"
"Location: Oakland/Alameda Hobbies: Watching movies and writing Favorite noveling music: Alternative, R&B Website: http://dkdailey.com/","3519","http://nanowrimo.org/participants/dkdailey"
"Fact Sheet","3520","http://nanowrimo.org/participants/ebonstorm"
"Location: Hayward, CA Website: http://hubcityblues.com Occupation: Author, Technology Consultant Favorite books or authors: When True Night Falls, Lilith's Brood, Dune and all of its spin-offs, The Silmarillion, Anything by Octavia Butler, CS Friedman, Frank or Brian Herbert","3521","http://nanowrimo.org/participants/ebonstorm"
"Fact Sheet","3522","http://nanowrimo.org/participants/EllenMulholland"
"Location: Bay Area, Northern California Hobbies: I don't consider writing a hobby. Hobbies are things you do when you want to relax like knitting or whittling. I do neither. I write. I have no hobbies. Favorite noveling music: Currently I Monster Website: https://www.ellenmulholland.com Occupation: teacher, writer, mom Favorite books or authors: I love books on craft (Goldberg, King, Lamott). My favorite storyteller is Carson McCullers.","3523","http://nanowrimo.org/participants/EllenMulholland"
"Fact Sheet","3524","http://nanowrimo.org/participants/escabatum_rip3"
"Location: Davis, CA Hobbies: Writing, drawing, computer games, cooking, mixing cocktails, making props and graphic design Favorite noveling music: Shiny Toy Guns - Frozen Oceans, Somewhere to Hide; M83 - Starwaves; Website: http://embracing-obsession.blogspot.com Occupation: Family Medicine Resident Physician Favorite books or authors: Anne McCaffrey's Dragonriders of Pern, The Golden Compass Trilogy, Atlas Shrugged, Allegory of the Cave","3525","http://nanowrimo.org/participants/escabatum_rip3"
"Fact Sheet","3526","http://nanowrimo.org/participants/ethibeaux"
